titulo,isbn,anio_publicacion,autor
Ad quo perspiciatis veritatis,978-0-13-079650-9,2018,Úrsula Juan Carlos Méndez
Nemo pariatur,978-0-609-15622-3,2016,Sr(a). Gabriela Leal
Animi et facilis dolorem,978-1-75600-708-6,2008,Amelia Cano Bañuelos
Sapiente unde quod praesentium,978-1-84859-314-5,2015,Inés Elisa Fuentes
Vitae temporibus sapiente,978-1-260-81269-5,2009,Irene Berta Riojas Peres
Placeat cumque ullam dolorem alias,978-1-4354-7268-6,2021,Ing. Amador Ceja
Optio labore dolorum repellendus quasi,978-0-657-67092-4,1998,Citlali Esparta Monroy
Necessitatibus repellat sed,978-1-371-30136-1,2002,Mtro. Karina Cabán
Atque ullam sed necessitatibus eveniet,978-0-02-908732-9,2009,Teresa Sánchez
Voluptatum explicabo tempore,978-0-585-64307-6,2018,Javier Heredia Pantoja
Inventore totam illum dolorum et,978-1-81895-224-8,1998,Leonel María Eugenia Ceballos Cabán
Esse accusantium assumenda vitae,978-1-77672-912-8,1999,Violeta Silvia Amaya
Magnam repellat,978-1-147-19413-5,2001,Minerva Armendáriz Mejía
Modi beatae,978-1-968004-87-3,1996,Sr(a). José María Fuentes
Debitis nemo delectus reprehenderit omnis,978-0-08-642690-1,2009,Isabela Julia Solano Baca
Hic ut dolore adipisci,978-1-4223-3839-1,2012,Sr(a). Enrique Lozano
Similique tempora,978-1-345-50010-3,2015,Rebeca Cristina Leyva
Exercitationem quasi laborum similique,978-0-513-31097-1,2019,Gabriel Llamas
Dolores minus,978-0-8409-5935-5,2002,Camilo Valle
Qui accusamus tempora,978-0-209-82075-3,2001,Olga Arcelia Guajardo
Necessitatibus atque architecto maiores,978-1-60223-341-6,2018,Raquel Gonzales Acosta
Eius quod sint,978-0-531-17189-9,2010,Irma Burgos
Suscipit iste nemo occaecati,978-0-941372-63-3,2006,Martín Sergio Guardado Rocha
Qui minus sint animi,978-1-279-76311-7,2015,Ernesto Octavio Oquendo
Nemo nemo libero facere impedit,978-1-58563-626-6,2013,Javier Portillo
Consectetur debitis corrupti consequuntur,978-0-88588-699-9,2022,Silvano Carlos Rincón Bétancourt
Harum iure,978-0-310-36087-2,2010,Ivonne Lozada
Ex dignissimos modi facilis vero,978-0-87786-254-3,2004,Natividad Sepúlveda
Porro exercitationem nam asperiores,978-0-01-681154-8,2010,Paulina Mayte Bétancourt Jurado
Quaerat a doloremque repudiandae,978-1-883429-20-1,2001,Georgina Sofía Chavarría León
